词,出现次数,文档频次,文档概率
相忆,4,4,0.001734
沧洲,4,4,0.001734
梦里,4,4,0.001734
高树,4,4,0.001734
远山,4,4,0.001734
交亲,4,4,0.001734
宫中,4,3,0.001300
城下,4,4,0.001734
凄凉,4,4,0.001734
鬼神,4,4,0.001734
他人,4,3,0.001300
感激,4,2,0.000867
马嘶,4,4,0.001734
秋来,3,3,0.001300
夜来,3,3,0.001300
水边,3,3,0.001300
名利,3,3,0.001300
临水,3,3,0.001300
池塘,3,3,0.001300
独自,3,3,0.001300
相随,3,3,0.001300
从容,3,3,0.001300
愁人,3,3,0.001300
壮士,3,3,0.001300
云深,3,3,0.001300
微风,3,3,0.001300
姓名,3,3,0.001300
先生,3,3,0.001300
弟子,3,3,0.001300
所以,3,3,0.001300
沧浪,3,3,0.001300
草色,3,3,0.001300
夫子,3,3,0.001300
人世,3,3,0.001300
晚来,3,3,0.001300
才子,3,3,0.001300
江城,3,3,0.001300
英雄,3,3,0.001300
世人,3,2,0.000867
溪水,3,2,0.000867
流年,3,3,0.001300
猿声,3,3,0.001300
八月,3,3,0.001300
自知,3,3,0.001300
所思,3,3,0.001300
曲江,3,3,0.001300
石上,3,3,0.001300
至今,3,3,0.001300
鹧鸪,3,3,0.001300
明时,3,3,0.001300
汉水,3,3,0.001300
烟雨,3,3,0.001300
世事,3,3,0.001300
楚客,3,3,0.001300
心期,3,3,0.001300
他日,3,3,0.001300
是非,3,3,0.001300
永日,3,3,0.001300
终日,3,3,0.001300
玉楼,3,3,0.001300
连天,3,3,0.001300
