phrase,degree,degree_centrality,betweenness,closeness,eigenvector,pagerank,frequency,probability,degree_centrality_rank,betweenness_rank,closeness_rank,eigenvector_rank,pagerank_rank,avg_rank
自然,30,0.047619047619047616,0.0010639491031647894,1.1981746824308848,0.008839426328641405,0.001244907547311497,10,0.004335,332.5,260.0,321.0,405.0,352.0,334.1
微风,31,0.049206349206349205,0.00019515313632960694,1.1737832711662934,0.015447595518130151,0.0013951540453328924,3,0.0013,324.5,395.0,363.0,302.0,299.0,336.7
花飞,29,0.046031746031746035,0.0018501694972283206,1.1753750201912636,0.006134864232974202,0.0012977530753847106,14,0.006068,340.5,196.0,361.0,456.0,334.0,337.5
玉树,27,0.04285714285714286,0.0007838090191031365,1.2412838305479938,0.010317332769675927,0.001073790378744283,12,0.005202,365.5,290.0,253.0,374.0,407.0,337.9
秋月,27,0.04285714285714286,0.0011890041301806007,1.2084004500681722,0.011439468542586715,0.0010432904967026448,19,0.008236,365.5,245.0,305.0,359.0,415.0,337.9
南北,29,0.046031746031746035,0.0002388943565414154,1.1886526306777956,0.015479039354256425,0.0013143370920592923,4,0.001734,340.5,385.0,343.0,301.0,327.0,339.3
翠微,27,0.04285714285714286,0.0015242132889191713,1.1649085887817154,0.012006740587870652,0.0011142799378706047,17,0.007369,365.5,220.0,377.0,350.0,399.0,342.3
秋水,30,0.047619047619047616,0.00046096516684751977,1.1904719027977197,0.00927442142609912,0.0013410415458205889,5,0.002167,332.5,338.0,336.0,394.0,316.0,343.3
北斗,29,0.046031746031746035,0.0010262363203539673,1.18773404205034,0.008368394352496185,0.0012317039812907288,19,0.008236,340.5,264.0,346.0,409.0,358.0,343.5
客心,21,0.03333333333333333,0.003117403117403117,1.1902088185665909,0.008259406296021524,0.0010704021291215488,13,0.005635,422.5,139.0,337.0,411.0,409.0,343.7
山下,28,0.044444444444444446,0.0012912071735601146,1.1813723259358468,0.006178556861848857,0.0012950578394735988,16,0.006935,352.5,238.0,353.0,453.0,335.0,346.3
日落,25,0.03968253968253968,0.0012802718685071626,1.1908680877914306,0.010416236444950292,0.0010129998227920258,15,0.006502,388.5,239.0,335.0,372.0,425.0,351.9
两相,27,0.04285714285714286,0.0003179650238473768,1.1611998816984306,0.016120674223882282,0.0012140134641807523,4,0.001734,365.5,366.0,380.0,287.0,365.0,352.7
夜月,26,0.04126984126984127,0.0007548304607128134,1.2089594139947282,0.009127066302578968,0.0010801278139083096,11,0.004768,378.5,294.0,303.0,397.0,404.0,355.3
功名,26,0.04126984126984127,0.00045103927456868634,1.1550590652928727,0.013533479234559435,0.0012575325307070796,7,0.003034,378.5,340.0,385.0,328.0,345.0,355.3
帝城,28,0.044444444444444446,0.0002498296615943675,1.1898886638364528,0.012212940899856532,0.0012326129421399712,7,0.003034,352.5,383.0,338.0,346.0,357.0,355.3
八月,31,0.049206349206349205,2.439414204120086e-05,1.134467951466748,0.01765424922610059,0.0014696536698337492,3,0.0013,324.5,491.0,412.0,267.0,287.0,356.3
猿啼,28,0.044444444444444446,0.0007772478360713654,1.1462943874162583,0.009065735536818116,0.0012726125396465115,10,0.004335,352.5,292.0,396.0,401.0,340.0,356.3
蓬莱,26,0.04126984126984127,0.001444722032957327,1.1779278290387558,0.00745750585135394,0.0011076059525841281,13,0.005635,378.5,225.0,356.0,424.0,400.0,356.7
