phrase,degree,degree_centrality,betweenness,closeness,eigenvector,pagerank,frequency,probability,degree_centrality_rank,betweenness_rank,closeness_rank,eigenvector_rank,pagerank_rank,avg_rank
白露,28,0.04409448818897638,0.015010308254054994,1.2081134900518826,0.08725316304666221,0.004012124424563023,30,0.001959,39.0,28.0,31.0,32.0,35.0,33.0
壮士,34,0.05354330708661417,0.015504193679260123,1.190699365128849,0.06250404335044325,0.004851619457188405,23,0.001502,24.0,27.0,41.0,60.0,19.0,34.2
白玉,31,0.048818897637795275,0.008938788014274241,1.2098657590684339,0.12427186049843186,0.003921836400338321,57,0.003722,31.0,60.0,29.0,15.0,39.0,34.8
蛾眉,29,0.04566929133858268,0.013822996100250876,1.2121880580306532,0.08424404034510537,0.0037632000648577363,38,0.002481,35.0,37.0,26.0,34.0,42.0,34.8
花下,27,0.04251968503937008,0.013147370774236817,1.2111474484167342,0.09965078756687674,0.003364834833371493,52,0.003395,43.0,40.0,27.0,20.0,52.0,36.4
未央,31,0.048818897637795275,0.014164948624324165,1.2047043039057275,0.06483301990669064,0.0043040701418240734,31,0.002024,31.0,34.0,33.0,56.0,29.0,36.6
闭门,28,0.04409448818897638,0.011644601207183487,1.1931112327775593,0.09662502798737553,0.003580260658776019,47,0.003069,39.0,44.0,37.0,25.0,45.0,38.0
山头,26,0.04094488188976378,0.014670011674408207,1.186435736199209,0.07121460256098021,0.0036314671727301,34,0.00222,45.0,31.0,44.0,50.0,44.0,42.8
红粉,29,0.04566929133858268,0.018127623636950745,1.1938079082611075,0.046637815379105316,0.003956997830798848,40,0.002612,35.0,17.0,36.0,98.0,37.0,44.6
归客,23,0.03622047244094488,0.012615812613328696,1.182394085774271,0.09110879219448567,0.003243333614139805,30,0.001959,57.0,42.0,47.0,27.0,55.0,45.6
叶落,28,0.04409448818897638,0.013527410020119725,1.1915810859369707,0.05775230635804169,0.0037760679285594838,42,0.002742,39.0,38.0,40.0,72.0,41.0,46.0
花飞,28,0.04409448818897638,0.01468739909088651,1.1799886552731658,0.05838773389582572,0.003751890073158655,32,0.002089,39.0,30.0,51.0,70.0,43.0,46.6
九重,29,0.04566929133858268,0.009051392235276585,1.1683028944954432,0.07695272366519615,0.0039539279617266405,46,0.003003,35.0,58.0,63.0,40.0,38.0,46.8
同心,27,0.04251968503937008,0.016558616292837215,1.1876026951377012,0.0495389508476698,0.003909680063812913,40,0.002612,43.0,23.0,42.0,88.0,40.0,47.2
万物,30,0.047244094488188976,0.008991778235922402,1.1800225073590618,0.05568171148780028,0.004158425242866001,28,0.001828,33.0,59.0,50.0,76.0,31.0,49.8
花间,24,0.03779527559055118,0.007345769475976386,1.192671387803452,0.09759735506883238,0.0030278884729590455,27,0.001763,51.5,78.0,38.0,24.0,62.0,50.7
楼前,25,0.03937007874015748,0.01016915472316749,1.174628635607426,0.05736389099397542,0.003555608739494843,36,0.00235,47.0,49.0,53.0,73.0,46.0,53.6
行乐,25,0.03937007874015748,0.015938465105111075,1.1917399285659827,0.04093425213899772,0.003468851889437988,30,0.001959,47.0,25.0,39.0,110.0,48.0,53.8
感激,27,0.04251968503937008,0.020835920746499745,1.1498327188050859,0.04005695780225578,0.004063447608524127,22,0.001436,43.0,12.0,73.0,113.0,34.0,55.0
新月,23,0.03622047244094488,0.01382796393353039,1.1719716263786717,0.05035755430234877,0.003520110180264414,29,0.001893,57.0,36.0,58.0,86.0,47.0,56.8
弟子,23,0.03622047244094488,0.007272907921210164,1.1702483641323873,0.08826582618899781,0.0031598054398018736,53,0.00346,57.0,81.5,60.0,31.0,60.0,57.9
日夜,22,0.03464566929133858,0.008275168285352344,1.1738495729777416,0.07515687129398645,0.00295248017881921,30,0.001959,63.5,65.0,54.0,43.0,67.0,58.5
须臾,23,0.03622047244094488,0.013157306440795847,1.1863098808500996,0.047606668473010344,0.003128021591871243,20,0.001306,57.0,39.0,45.0,96.0,61.0,59.6
天子,21,0.03307086614173228,0.006552572095680469,1.2071377121426905,0.0930034163541645,0.0026138677095539145,152,0.009924,69.0,99.0,32.0,26.0,95.0,64.2
两相,24,0.03779527559055118,0.005214568999064392,1.1764044524007342,0.07903264368571902,0.0032634195143734232,30,0.001959,51.5,126.0,52.0,38.0,54.0,64.3
莺啼,24,0.03779527559055118,0.009394172731563129,1.1542891142163842,0.04163022736692322,0.0032277089122496887,42,0.002742,51.5,56.0,69.0,108.0,58.0,68.5
万户,24,0.03779527559055118,0.008321120743187858,1.1542599305130796,0.043633112024487844,0.003208185795870317,45,0.002938,51.5,64.0,70.0,101.0,59.0,69.1
御沟,22,0.03464566929133858,0.00811495566208798,1.1495624087502025,0.05610264913220094,0.002897817386457116,43,0.002808,63.5,67.0,74.0,74.0,71.0,69.9
