phrase,degree,degree_centrality,betweenness,closeness,eigenvector,pagerank,frequency,probability,degree_centrality_rank,betweenness_rank,closeness_rank,eigenvector_rank,pagerank_rank,avg_rank
萧索,83,0.12443778110944527,0.0006730868799834318,1.6796014021322578,0.04388045789522211,0.0016666741435531172,115,0.000743,170.5,568.0,227.0,172.0,183.0,264.1
苍苔,79,0.1184407796101949,0.0011188099643871757,1.672219991425598,0.03858409754823598,0.0016413646196507955,136,0.000879,221.5,369.5,278.0,253.0,200.0,264.4
潇湘,77,0.11544227886056971,0.0011908460184322253,1.671759073721758,0.04224535793949837,0.0015758015002941231,282,0.001822,253.5,332.5,283.0,199.0,254.0,264.4
月照,76,0.11394302848575712,0.001217859538699119,1.6803012405772384,0.0419666786403479,0.0015286477881909,238,0.001538,272.0,327.0,218.0,204.0,306.0,265.4
人生,79,0.1184407796101949,0.001139070104587346,1.6697553510758631,0.03882052175898341,0.0016406187501972866,313,0.002022,221.5,356.5,300.0,249.0,201.0,265.6
水边,76,0.11394302848575712,0.0015802909356132744,1.675783721523859,0.03592720148221751,0.0015536692015246012,145,0.000937,272.0,209.0,253.0,321.0,277.0,266.4
梅花,77,0.11544227886056971,0.0010085047566306938,1.678311772550136,0.046489909219128364,0.00154399993472529,191,0.001234,253.5,413.5,236.0,139.0,294.0,267.2
别后,75,0.11244377811094453,0.0013979496738117428,1.672947367570916,0.03942975945090344,0.0015563602255096879,233,0.001505,286.0,262.5,273.0,241.0,274.0,267.3
杜陵,77,0.11544227886056971,0.00120660390525458,1.6745383862543364,0.03849876608324189,0.0015898127558733178,120,0.000775,253.5,330.5,261.0,254.0,239.0,267.6
茫茫,73,0.10944527736131934,0.0017468743105924515,1.679995529549527,0.03638739419657653,0.0014857850292219826,305,0.001971,316.0,158.0,222.0,311.0,333.0,268.0
终日,73,0.10944527736131934,0.0020485252869060964,1.6802468017037442,0.03361650017783297,0.0014738942520629863,383,0.002475,316.0,100.0,219.0,367.0,339.0,268.2
意气,78,0.1169415292353823,0.0011480746113429771,1.6683621678592955,0.03820344115026851,0.0016600441302079567,130,0.00084,235.5,348.5,308.0,262.0,187.0,268.2
九衢,78,0.1169415292353823,0.0010850430640535588,1.6742506791935492,0.038811846719770726,0.0016334681047572503,124,0.000801,235.5,386.0,264.0,250.0,207.0,268.5
十里,73,0.10944527736131934,0.002113807960884423,1.679800464889186,0.033181007315183725,0.0014748654358028009,168,0.001085,316.0,91.0,226.0,377.0,336.0,269.2
车马,75,0.11244377811094453,0.0015172593883238561,1.6746710671096938,0.03777003064989542,0.001531110670008648,286,0.001848,286.0,227.5,259.0,280.0,303.0,271.1
萧条,72,0.10794602698650674,0.0020800410605508056,1.6764844941559547,0.03501781934746431,0.0014594229222616886,345,0.002229,328.5,96.0,247.0,338.0,352.0,272.3
路傍,81,0.12143928035982009,0.0007316161738950345,1.669265544608057,0.04388187294954049,0.0016844042982138581,124,0.000801,193.5,538.0,303.0,171.0,170.0,275.1
巫山,78,0.1169415292353823,0.0009027018022520272,1.663923832502043,0.04387137389875644,0.0016962691787973608,233,0.001505,235.5,457.0,349.0,173.0,161.0,275.1
路长,75,0.11244377811094453,0.00156453304879092,1.6719956493620372,0.03686930898929273,0.001544804405464438,160,0.001034,286.0,216.0,280.0,302.0,293.0,275.4
九重,76,0.11394302848575712,0.0014114564339451896,1.6609527443579795,0.03865109803357943,0.0015993313761442562,180,0.001163,272.0,257.5,372.0,252.0,231.0,276.9
自古,70,0.10494752623688156,0.0026045535790663226,1.68398197356628,0.030743188432575678,0.0014235301194145465,204,0.001318,350.0,35.0,188.0,434.0,380.0,277.4
南国,72,0.10794602698650674,0.0017783900842371608,1.6722192745283513,0.03739656842688282,0.001468429116451025,190,0.001228,328.5,152.0,279.0,288.0,344.0,278.3
西风,77,0.11544227886056971,0.0010242626434530482,1.6747867543239843,0.04089025480817823,0.0015672359847910852,241,0.001557,253.5,408.0,258.0,216.0,264.0,279.9
闻道,72,0.10794602698650674,0.001629815722769246,1.679917809655963,0.03693602741297107,0.001454835567603529,235,0.001518,328.5,195.5,223.0,298.0,359.0,280.8
向人,70,0.10494752623688156,0.0024604814709762238,1.6762034517547535,0.03321971161842767,0.0014205442140205115,175,0.001131,350.0,48.0,249.0,376.0,383.0,281.2
月夜,73,0.10944527736131934,0.001418209814011913,1.676017626328101,0.038783536516012004,0.0014744098175724244,233,0.001505,316.0,252.5,252.0,251.0,338.0,281.9
欢娱,73,0.10944527736131934,0.002089045567306437,1.6689348166405622,0.03331085793672529,0.0015023795425069988,157,0.001014,316.0,95.0,305.0,373.0,325.0,282.8
桃花,74,0.11094452773613193,0.0013101557329443386,1.665186697661808,0.04260475706915289,0.0015225998178312187,495,0.003198,300.0,284.0,342.0,190.0,310.0,285.2
汉家,75,0.11244377811094453,0.0011120565843204524,1.671175642198599,0.037874112000079105,0.0015956162438819942,230,0.001486,286.0,372.5,285.0,272.0,234.0,289.9
关河,79,0.1184407796101949,0.000769885327606467,1.6726177922899592,0.040269966859787294,0.0016227782134777939,116,0.000749,221.5,519.5,276.0,225.0,214.0,291.2
风波,75,0.11244377811094453,0.0013034023528776153,1.6712811985039613,0.03584292490929661,0.001553280781468914,161,0.00104,286.0,287.0,284.0,322.0,280.0,291.8
青苔,77,0.11544227886056971,0.000949975462719091,1.6655634077866814,0.04115478808962944,0.0016140414102411734,140,0.000905,253.5,439.5,338.0,212.0,219.0,292.4
花发,77,0.11544227886056971,0.0007968988478733606,1.6710466419256729,0.04689121557003962,0.0015483665048917003,232,0.001499,253.5,506.5,286.0,133.0,286.0,293.0
风烟,70,0.10494752623688156,0.0021745883814849334,1.6727511925449527,0.031906907193399614,0.0014620988784617205,169,0.001092,350.0,86.0,275.0,406.0,350.0,293.4
千秋,73,0.10944527736131934,0.0016343179761470616,1.6665746136136084,0.034985441579335634,0.0015438333499497667,150,0.000969,316.0,193.0,326.0,339.0,295.0,293.8
雨后,74,0.11094452773613193,0.0014489752120936529,1.6690241319745174,0.03689319936633203,0.0015113972021527377,175,0.001131,300.0,245.0,304.0,301.0,321.0,294.2
帝城,73,0.10944527736131934,0.0015750383066724899,1.6770024577212719,0.03358442588593175,0.0014927981857294846,135,0.000872,316.0,214.0,243.0,370.0,329.0,294.4
青门,75,0.11244377811094453,0.001105303204253729,1.6682568380797316,0.0408815352751245,0.0015477772041594066,153,0.000989,286.0,376.5,311.0,217.0,287.0,295.5
