node,pos_weight,neg_weight,type,tension
溟,0.0098,0.0,positive_only,0.0
京,3.0318,0.0,positive_only,0.0
吟,0.0042,1.5089000000000001,cross,0.00278348465769766
家,0.0251,0.0219,cross,0.8725099601593624
凉,0.0,6.0283999999999995,negative_only,0.0
帆,0.0,1.5148,negative_only,0.0
僧,0.0,0.0125,negative_only,0.0
昼,0.0018,0.0,positive_only,0.0
杨,0.007,0.0165,cross,0.42424242424242425
晓,0.0,0.0008,negative_only,0.0
洞,0.0,0.0151,negative_only,0.0
昏,0.0,1.5001,negative_only,0.0
鸡,0.0011,0.0099,cross,0.1111111111111111
鼙,0.0016,0.0,positive_only,0.0
宵,0.0,0.0051,negative_only,0.0
色,0.0208,0.0589,cross,0.3531409168081494
古,0.0,0.0847,negative_only,0.0
王,1.5099,0.0,positive_only,0.0
先,0.0,0.0026,negative_only,0.0
己,0.0104,0.0,positive_only,0.0
埃,0.0,0.0052,negative_only,0.0
平,1.533,0.0526,cross,0.03431180691454664
曲,0.0105,0.0,positive_only,0.0
征,0.0,0.0595,negative_only,0.0
襄,0.0,0.0019,negative_only,0.0
力,0.0,0.0028,negative_only,0.0
林,0.008499999999999999,0.0254,cross,0.33464566929133854
事,0.0,0.0465,negative_only,0.0
始,0.0024,0.0,positive_only,0.0
鹃,0.0,0.023,negative_only,0.0
车,0.0097,0.0,positive_only,0.0
柳,0.0171,0.0,positive_only,0.0
杀,0.0043,1.5211999999999999,cross,0.0028267157507231135
携,0.0,0.0155,negative_only,0.0
刺,0.0117,0.0,positive_only,0.0
立,0.0,1.5009,negative_only,0.0
妆,1.4998,0.0,positive_only,0.0
史,0.0279,0.0,positive_only,0.0
过,0.0,0.0125,negative_only,0.0
乘,1.5486,0.0,positive_only,0.0
风,0.0947,3.2443,cross,0.02918965570384983
鸣,0.0,0.0244,negative_only,0.0
烽,0.0,0.0143,negative_only,0.0
入,0.0,0.0029,negative_only,0.0
幽,0.0,1.5056,negative_only,0.0
贱,0.0,0.0047,negative_only,0.0
谢,0.0003,0.0,positive_only,0.0
茂,1.5062,0.0,positive_only,0.0
泪,0.0,4.5463,negative_only,0.0
虚,0.0063,0.0026,cross,0.4126984126984127
枕,0.0,0.0136,negative_only,0.0
浩,0.0023,0.0,positive_only,0.0
意,0.0313,0.0,positive_only,0.0
湖,0.0,0.0015,negative_only,0.0
炉,0.0094,0.0,positive_only,0.0
干,0.0024,0.0138,cross,0.17391304347826086
章,0.0201,0.0005,cross,0.024875621890547265
笑,3.0247,0.0,positive_only,0.0
骏,0.0276,0.0,positive_only,0.0
碧,1.5070000000000001,1.507,cross,0.9999999999999999
羊,0.0,0.0173,negative_only,0.0
藓,0.0,0.0142,negative_only,0.0
飘,0.0091,0.0058,cross,0.6373626373626373
荆,0.0,0.008,negative_only,0.0
卿,0.0123,0.0,positive_only,0.0
吹,0.0011,0.0109,cross,0.10091743119266056
楼,1.5787,0.0475,cross,0.03008804712738329
礼,1.529,0.0,positive_only,0.0
彩,0.0048,0.0,positive_only,0.0
滴,0.0,0.0201,negative_only,0.0
狂,0.0,0.0034999999999999996,negative_only,0.0
客,0.0108,1.6506999999999998,cross,0.0065426788635124505
贵,0.0084,0.0,positive_only,0.0
英,1.5329,0.0,positive_only,0.0
下,0.0133,0.0,positive_only,0.0
阳,0.0525,0.0793,cross,0.6620428751576293
雄,1.5329,0.0,positive_only,0.0
长,0.0054,0.037,cross,0.14594594594594595
羽,0.0033,0.0,positive_only,0.0
郎,0.0039,0.0,positive_only,0.0
天,0.0688,1.5816999999999999,cross,0.04349750268698237
异,0.0,0.0243,negative_only,0.0
大,0.0195,0.0126,cross,0.6461538461538462
薜,0.0,0.0122,negative_only,0.0
回,0.0051,0.0217,cross,0.2350230414746544
折,0.0005,0.0,positive_only,0.0
心,0.0070999999999999995,3.0517,cross,0.002326572074581381
愁,0.0,4.5288,negative_only,0.0
凤,0.0407,0.0,positive_only,0.0
梦,0.0,0.0941,negative_only,0.0
驱,0.0,0.0057,negative_only,0.0
开,0.0,0.0001,negative_only,0.0
杜,0.0,0.023,negative_only,0.0
鬼,0.0005,0.0,positive_only,0.0
紫,0.0466,0.0068,cross,0.14592274678111586
溪,0.0,0.0246,negative_only,0.0
富,0.0084,0.0,positive_only,0.0
复,0.0,0.0018,negative_only,0.0
造,0.0123,0.0,positive_only,0.0
海,0.0218,0.008700000000000001,cross,0.3990825688073395
烛,0.0155,0.0,positive_only,0.0
酒,1.5341,0.0335,cross,0.021836907633139953
俗,0.0187,0.0,positive_only,0.0
骢,0.0089,0.0,positive_only,0.0
津,0.011,0.0,positive_only,0.0
逢,3.0047,0.0,positive_only,0.0
川,0.0045,0.0,positive_only,0.0
塞,0.0,0.0132,negative_only,0.0
虎,1.504,0.0113,cross,0.007513297872340425
轩,0.0042,0.0,positive_only,0.0
鹿,0.0051,0.0,positive_only,0.0
茫,0.0,6.0,negative_only,0.0
于,0.0,0.0103,negative_only,0.0
房,0.0,0.0151,negative_only,0.0
晖,0.0,1.4957,negative_only,0.0
圣,1.5754,0.0,positive_only,0.0
琐,0.014,0.0,positive_only,0.0
欲,0.0,1.5328,negative_only,0.0
宙,0.0148,0.0,positive_only,0.0
端,0.0,0.0041,negative_only,0.0
常,0.0,0.0022,negative_only,0.0
自,1.5192,1.5276999999999998,cross,0.9944360803822742
桑,0.0059,0.0,positive_only,0.0
蛇,1.502,0.0,positive_only,0.0
柏,0.0,0.0022,negative_only,0.0
感,0.0,0.0059,negative_only,0.0
寐,0.0,0.0056,negative_only,0.0
皇,0.0187,0.0,positive_only,0.0
莓,0.0,0.0111,negative_only,0.0
翠,0.0184,0.006,cross,0.32608695652173914
寞,0.0,3.0,negative_only,0.0
雷,0.0032,0.0,positive_only,0.0
帘,0.0,0.0161,negative_only,0.0
别,0.0,12.0107,negative_only,0.0
建,0.0145,0.0,positive_only,0.0
屏,0.0,0.0139,negative_only,0.0
路,0.0039,0.0931,cross,0.04189044038668099
蒿,0.0104,0.0,positive_only,0.0
升,0.0108,0.0,positive_only,0.0
歌,0.0594,0.0029,cross,0.048821548821548814
咽,0.0,0.0345,negative_only,0.0
倏,0.0056,0.0,positive_only,0.0
莺,0.0,0.012499999999999999,negative_only,0.0
窗,0.0,0.0153,negative_only,0.0
华,12.064,0.0,positive_only,0.0
凌,0.0039,0.0,positive_only,0.0
霞,0.0224,0.0,positive_only,0.0
蓬,0.0294,0.0,positive_only,0.0
舞,0.016399999999999998,0.0,positive_only,0.0
洲,0.0,0.0263,negative_only,0.0
发,1.5089,0.0124,cross,0.00821790708463119
尽,0.0,0.0276,negative_only,0.0
流,0.0116,1.5453,cross,0.007506633016242801
无,0.0072,0.0059,cross,0.8194444444444444
来,0.0,0.0486,negative_only,0.0
扁,0.0,0.0081,negative_only,0.0
吾,0.0,0.0137,negative_only,0.0
宫,0.0723,1.4779,cross,0.048920765951688205
深,0.0086,0.08700000000000001,cross,0.09885057471264366
死,0.0,0.0106,negative_only,0.0
兹,0.0,0.0012,negative_only,0.0
识,0.0,0.0054,negative_only,0.0
麋,0.0051,0.0,positive_only,0.0
舟,0.0103,1.5256,cross,0.006751442055584688
宛,0.0096,0.0,positive_only,0.0
水,0.0205,1.6655,cross,0.012308616031221856
关,1.4965000000000002,0.0606,cross,0.040494487136652185
峰,0.0107,1.4941,cross,0.007161501907502844
公,0.0159,0.0138,cross,0.8679245283018867
中,0.0288,0.07150000000000001,cross,0.4027972027972027
方,0.019299999999999998,0.0,positive_only,0.0
凄,0.0,1.5248,negative_only,0.0
殷,0.0,0.0032,negative_only,0.0
寄,0.0,0.0092,negative_only,0.0
寒,0.0,14.9741,negative_only,0.0
悠,9.0098,0.0,positive_only,0.0
近,0.0,0.0129,negative_only,0.0
披,0.0,1.4905,negative_only,0.0
目,0.0,0.0035,negative_only,0.0
书,0.0116,0.0196,cross,0.5918367346938775
头,0.0,0.0434,negative_only,0.0
横,0.0053,0.0,positive_only,0.0
弟,0.0,0.0172,negative_only,0.0
剑,0.0,0.0004,negative_only,0.0
新,0.0343,0.0163,cross,0.4752186588921283
星,0.0188,0.0003,cross,0.015957446808510637
诗,1.5335999999999999,0.0043,cross,0.002803860198226396
寸,0.009,0.0099,cross,0.909090909090909
量,0.0,0.0197,negative_only,0.0
抱,0.0,0.014,negative_only,0.0
楫,0.0103,0.0,positive_only,0.0
人,3.0271,3.1871,cross,0.9497976216623262
雁,1.4864,0.021900000000000003,cross,0.014733584499461789
涯,0.0,0.0295,negative_only,0.0
尚,0.0067,0.0,positive_only,0.0
孤,0.0,9.033,negative_only,0.0
斋,0.0,0.0017,negative_only,0.0
由,0.0029,0.0,positive_only,0.0
丰,0.0185,0.0,positive_only,0.0
那,0.0,0.0235,negative_only,0.0
孙,1.5099,0.0036,cross,0.0023842638585336775
焚,0.0102,0.0,positive_only,0.0
问,0.0003,0.0142,cross,0.021126760563380278
茅,0.0,0.0084,negative_only,0.0
信,0.0,0.0207,negative_only,0.0
首,0.0,0.011099999999999999,negative_only,0.0
翁,0.0,0.0004,negative_only,0.0
眉,0.0,0.0047,negative_only,0.0
奈,0.0,0.0171,negative_only,0.0
艰,0.0057,0.0,positive_only,0.0
采,0.0025,0.0,positive_only,0.0
女,1.5149,0.0028,cross,0.0018483068189319427
香,1.5368,0.0,positive_only,0.0
春,1.5565,1.5298,cross,0.9828461291358819
红,1.5294,0.0393,cross,0.025696351510396235
苏,0.0,0.0013,negative_only,0.0
李,0.0039,0.0,positive_only,0.0
闲,0.0034999999999999996,0.0134,cross,0.26119402985074625
岁,1.5432,1.5356,cross,0.9950751684810784
啼,0.0,0.059899999999999995,negative_only,0.0
食,0.0,1.5044,negative_only,0.0
载,0.0091,0.0043,cross,0.4725274725274725
钓,0.0043,0.0014,cross,0.32558139534883723
苍,0.0169,0.0326,cross,0.5184049079754601
际,0.0,0.007,negative_only,0.0
河,0.0191,0.0311,cross,0.6141479099678456
成,4.5029,0.0,positive_only,0.0
往,0.0044,1.5248000000000002,cross,0.0028856243441762854
绿,0.0074,0.0413,cross,0.17917675544794187
镜,1.5002,0.0051,cross,0.0033995467271030534
氲,0.0101,0.0,positive_only,0.0
西,0.0118,0.055600000000000004,cross,0.21223021582733811
苔,0.0,0.0639,negative_only,0.0
儿,0.0071,0.0001,cross,0.014084507042253521
身,0.0072,0.030799999999999998,cross,0.2337662337662338
独,0.0,10.520199999999999,negative_only,0.0
胡,0.0054,0.0074,cross,0.7297297297297297
谈,1.5234,0.0,positive_only,0.0
昔,0.0,0.0259,negative_only,0.0
高,1.5229,0.0359,cross,0.02357344540022326
知,0.0104,0.0116,cross,0.896551724137931
堂,9.0086,0.0,positive_only,0.0
递,0.0,0.0203,negative_only,0.0
咸,0.0063,0.0,positive_only,0.0
前,1.5312999999999999,0.047099999999999996,cross,0.030758179324756742
园,0.0025,0.024399999999999998,cross,0.10245901639344264
堪,0.0,0.0235,negative_only,0.0
寺,0.0,0.0356,negative_only,0.0
故,0.0,0.1079,negative_only,0.0
瀑,0.0072,0.0,positive_only,0.0
照,0.0203,0.0094,cross,0.46305418719211827
双,1.5252000000000001,0.0,positive_only,0.0
陵,1.5087,0.0172,cross,0.011400543514283821
留,0.0127,0.0088,cross,0.6929133858267718
内,0.0066,0.0,positive_only,0.0
谷,0.0059,0.0052,cross,0.8813559322033898
息,0.004,0.0,positive_only,0.0
暮,0.0131,0.065,cross,0.20153846153846153
封,0.0,0.0079,negative_only,0.0
蹄,0.0,0.012,negative_only,0.0
阑,0.0,0.0138,negative_only,0.0
伴,0.0034,0.0,positive_only,0.0
生,0.040299999999999996,0.062,cross,0.6499999999999999
