社区ID,诗语,社区内度数,全局度数,全局综合排名,社区内重要性得分,社区内排名
0,日斜,38,85,186.8,43.353319057815845,126
0,车马,38,75,271.1,41.68867576540022,127
0,夜来,38,68,368.1,40.71665308340125,128
0,江南,37,85,126.8,44.88643533123028,129
0,昨夜,37,83,201.8,41.95540138751239,130
0,承恩,37,74,308.3,40.243593902043465,131
0,月下,37,70,337.9,39.95945546019532,132
0,同心,37,66,400.9,39.49438762783737,133
0,玉树,37,58,525.5,38.902949571836345,134
0,向东,36,86,145.9,42.854009595613434,135
0,烟雨,36,83,178.3,41.60852495793606,136
0,忆昔,36,82,219.0,40.5662100456621,137
0,梦里,36,81,253.2,39.94944707740916,138
0,风流,36,67,321.4,39.11138767890479,139
0,北斗,36,73,352.7,38.83527076835838,140
0,今年,35,82,250.6,38.99042298483639,141
0,月照,35,76,265.4,38.76789751318764,142
0,白玉,35,68,313.1,38.19386777387416,143
0,婵娟,35,69,348.8,37.86697247706422,144
0,门前,34,79,171.1,39.84453535943892,145
0,深处,34,79,211.2,38.734848484848484,146
0,江边,34,78,213.1,38.69263256687002,147
0,阳春,34,74,245.9,38.06669377795852,148
0,霓裳,34,68,447.9,36.23264121455682,149
0,马上,33,77,192.1,38.20562207183758,150
0,明年,33,76,217.8,37.59136822773186,151
0,山头,33,86,250.3,36.995205753096286,152
0,雨后,33,74,294.2,36.39904826648539,153
0,空馀,32,81,175.7,37.69151963574274,154
0,日出,32,68,340.7,34.93513354857646,155
0,野花,32,70,382.0,34.617801047120416,156
0,微雨,32,69,423.4,34.36183278223902,157
0,风飘,32,61,467.7,34.1381227282446,158
0,裴回,32,58,513.6,33.94704049844237,159
0,时节,32,59,515.0,33.94174757281554,160
0,春雨,32,57,534.1,33.8723085564501,161
0,青门,31,75,295.5,34.384094754653134,162
0,可惜,31,64,458.2,33.18245307725884,163
0,鹦鹉,31,53,576.3,32.735207357279194,164
0,多少,30,81,153.3,36.52315720808871,165
0,梦中,30,78,220.6,34.533091568449684,166
0,独坐,30,69,311.1,33.21440051430408,167
0,自怜,30,67,333.0,33.003003003003,168
0,徘徊,30,64,383.6,32.606882168925964,169
